time,local_time,year,month,day,hour,month_name,season,u_wind_sfc,v_wind_sfc,relative_humidity_sfc,pressure_sfc,precip_rate_sfc,temperature_sfc,sensible_heat_flux_qcecor,latent_heat_flux_qcecor
2014-01-01 00:30:00,2013-12-31 20:30:00-04:00,2013,12,31,20,December,transition,-1.0709835,0.5803366,91.28997,1003.36664,0.028291088,299.68698,,
2014-01-01 01:30:00,2013-12-31 21:30:00-04:00,2013,12,31,21,December,transition,-0.0757361,0.055617616,93.78031,1004.09717,0.059210658,299.12262,,
2014-01-01 02:30:00,2013-12-31 22:30:00-04:00,2013,12,31,22,December,transition,-0.089112565,-0.0768062,97.02788,1003.9341,0.09013023,298.2484,,
2014-01-01 03:30:00,2013-12-31 23:30:00-04:00,2013,12,31,23,December,transition,-0.76159364,-0.4562354,98.13771,1003.50104,0.08799168,297.55963,,
2014-01-01 04:30:00,2014-01-01 00:30:00-04:00,2014,1,1,0,January,wet,-0.370673,-0.2925673,98.429504,1003.0603,0.052795008,296.911,,
2014-01-01 05:30:00,2014-01-01 01:30:00-04:00,2014,1,1,1,January,wet,-1.1733465,-0.1848594,97.963936,1002.3149,0.017598337,297.18604,,
2014-01-01 06:30:00,2014-01-01 02:30:00-04:00,2014,1,1,2,January,wet,-1.0326793,0.02668664,95.96393,1001.8152,0.0,297.67462,,
2014-01-01 07:30:00,2014-01-01 03:30:00-04:00,2014,1,1,3,January,wet,0.0019470952,0.44433892,96.13771,1001.7461,0.0,297.65692,,
2014-01-01 08:30:00,2014-01-01 04:30:00-04:00,2014,1,1,4,January,wet,-0.0062120087,-0.058919717,97.82132,1002.1688,0.0,297.3696,,
2014-01-01 09:30:00,2014-01-01 05:30:00-04:00,2014,1,1,5,January,wet,-0.043706555,-0.691867,99.92789,1003.0556,0.0,296.82486,,
2014-01-01 10:30:00,2014-01-01 06:30:00-04:00,2014,1,1,6,January,wet,-0.03163981,-0.4397201,100.15572,1003.9119,0.0,296.93423,,
2014-01-01 11:30:00,2014-01-01 07:30:00-04:00,2014,1,1,7,January,wet,-1.6516593,-0.15418102,88.67868,1004.57544,0.0,300.6241,,
2014-01-01 12:30:00,2014-01-01 08:30:00-04:00,2014,1,1,8,January,wet,-2.8002198,-0.5335519,76.6405,1004.7302,0.0,303.20465,,
2014-01-01 13:30:00,2014-01-01 09:30:00-04:00,2014,1,1,9,January,wet,-2.0966814,-0.9760231,66.677704,1004.4623,0.0,305.12387,,
2014-01-01 14:30:00,2014-01-01 10:30:00-04:00,2014,1,1,10,January,wet,-2.8800752,-0.7908245,57.976715,1003.8821,0.0,306.3626,,
2014-01-01 15:30:00,2014-01-01 11:30:00-04:00,2014,1,1,11,January,wet,-2.6303518,-2.0293348,54.673504,1003.2553,0.0,307.00433,,
2014-01-01 16:30:00,2014-01-01 12:30:00-04:00,2014,1,1,12,January,wet,-1.8350374,-1.6306738,57.163445,1002.4395,0.0,306.6459,,
2014-01-01 17:30:00,2014-01-01 13:30:00-04:00,2014,1,1,13,January,wet,-2.0236306,-0.9229575,56.281147,1001.51447,0.0,306.87683,,
2014-01-01 18:30:00,2014-01-01 14:30:00-04:00,2014,1,1,14,January,wet,-2.0895994,-0.7718634,54.11983,1000.6817,0.0,307.09796,,
2014-01-01 19:30:00,2014-01-01 15:30:00-04:00,2014,1,1,15,January,wet,-0.93716425,1.070638,62.736885,1000.18365,0.0,305.9747,,
2014-01-01 20:30:00,2014-01-01 16:30:00-04:00,2014,1,1,16,January,wet,-1.6617123,1.9046792,67.580986,999.7341,0.0,305.255,,
2014-01-01 21:30:00,2014-01-01 17:30:00-04:00,2014,1,1,17,January,wet,-1.2065707,1.3766428,70.8215,999.7065,0.0,304.3082,,
2014-01-01 22:30:00,2014-01-01 18:30:00-04:00,2014,1,1,18,January,wet,-0.66962594,0.7265276,81.61801,1000.0037,0.0,302.1346,,
2014-01-01 23:30:00,2014-01-01 19:30:00-04:00,2014,1,1,19,January,wet,-0.4049715,0.22872102,87.95737,1000.664,0.0,300.83032,,
2014-01-02 00:30:00,2014-01-01 20:30:00-04:00,2014,1,1,20,January,wet,-0.0628851,0.037842482,92.944275,1001.4133,0.0,299.2395,,
2014-01-02 01:30:00,2014-01-01 21:30:00-04:00,2014,1,1,21,January,wet,0.0,0.0,95.69998,1002.0451,0.0,298.4455,,
2014-01-02 02:30:00,2014-01-01 22:30:00-04:00,2014,1,1,22,January,wet,0.0,0.0,98.38835,1002.2802,0.0,297.71414,,
2014-01-02 03:30:00,2014-01-01 23:30:00-04:00,2014,1,1,23,January,wet,0.0,0.0,98.796715,1001.99963,0.0,296.87653,,
2014-01-02 04:30:00,2014-01-02 00:30:00-04:00,2014,1,2,0,January,wet,0.10183688,-0.33793625,99.128334,1001.70496,0.0,296.25797,,
2014-01-02 05:30:00,2014-01-02 01:30:00-04:00,2014,1,2,1,January,wet,-0.038373176,-0.68836653,100.278336,1001.04486,0.0,295.76898,,
2014-01-02 06:30:00,2014-01-02 02:30:00-04:00,2014,1,2,2,January,wet,0.029026086,-0.06720337,100.68362,1000.7197,0.0,295.17,,
2014-01-02 07:30:00,2014-01-02 03:30:00-04:00,2014,1,2,3,January,wet,0.12373361,-0.400001,100.855,1000.78125,0.0,295.20517,,
2014-01-02 08:30:00,2014-01-02 04:30:00-04:00,2014,1,2,4,January,wet,0.12168716,-0.6486832,100.796684,1001.1698,0.0,295.3931,,
2014-01-02 09:30:00,2014-01-02 05:30:00-04:00,2014,1,2,5,January,wet,-0.19458817,-0.7286207,100.773766,1001.64734,0.0,295.4299,,
2014-01-02 10:30:00,2014-01-02 06:30:00-04:00,2014,1,2,6,January,wet,-0.16412397,-1.0654075,98.691666,1002.39856,0.0,296.98068,,
2014-01-02 11:30:00,2014-01-02 07:30:00-04:00,2014,1,2,7,January,wet,-1.174452,-1.379515,89.51999,1003.00867,0.0,300.3872,,
2014-01-02 12:30:00,2014-01-02 08:30:00-04:00,2014,1,2,8,January,wet,-2.1631215,-1.5779593,73.92509,1003.3147,0.0,303.65738,,
